material,cmi_worth_per_item,shop_file,shop_id,item_id,page,slot,command,quantity,listed_buy_price,shop_unit_price,cmi_worth_for_quantity,difference_total,difference_per_item,difference_percent,multiplier,publishable,policy_reasons
BLACKSTONE_SLAB,0.2,survival_blackstone.yml,survival_blackstone,2,1,11,/buy survival_blackstone 1,1,20,20,0.2,19.8,19.8,9900,100,true,
BLACKSTONE_STAIRS,0.4,survival_blackstone.yml,survival_blackstone,3,1,12,/buy survival_blackstone 1,1,40,40,0.4,39.6,39.6,9900,100,true,
BLACKSTONE_WALL,0.4,survival_blackstone.yml,survival_blackstone,4,1,13,/buy survival_blackstone 1,1,40,40,0.4,39.6,39.6,9900,100,true,
BLACK_BANNER,1,survival_wools.yml,survival_wools,64,4,29,/buy survival_wools 4,1,100,100,1,99,99,9900,100,true,
BLACK_BED,1.95,survival_wools.yml,survival_wools,48,3,29,/buy survival_wools 3,1,195,195,1.95,193.05,193.05,9900,100,true,
BLACK_BUNDLE,0.43,survival_misc.yml,survival_misc,24,2,13,/buy survival_misc 2,1,43,43,0.43,42.57,42.57,9900,100,true,
BLACK_CANDLE,4.17,survival_misc.yml,survival_misc,8,1,19,/buy survival_misc 1,1,417,417,4.17,412.83,412.83,9900,100,true,
BLACK_CARPET,0.33,survival_wools.yml,survival_wools,20,2,13,/buy survival_wools 2,1,33,33,0.33,32.67,32.67,9900,100,true,
BLACK_CONCRETE,0.05,survival_concrete.yml,survival_concrete,29,2,19,/buy survival_concrete 2,1,5,5,0.05,4.95,4.95,9900,100,true,
BLACK_CONCRETE_POWDER,0.05,survival_concrete.yml,survival_concrete,30,2,20,/buy survival_concrete 2,1,5,5,0.05,4.95,4.95,9900,100,true,
BLACK_DYE,0.09,survival_dyes.yml,survival_dyes,4,1,13,/buy survival_dyes 1,1,9,9,0.09,8.91,8.91,9900,100,true,
BLACK_GLAZED_TERRACOTTA,0.31,survival_terracotta.yml,survival_terracotta,21,2,13,/buy survival_terracotta 2,1,31,31,0.31,30.69,30.69,9900,100,true,
BLACK_HARNESS,1.31,survival_armor.yml,survival_armor,43,3,13,/buy survival_armor 3,1,131,131,1.31,129.69,129.69,9900,100,true,
BLACK_SHULKER_BOX,2040.09,survival_end.yml,survival_end,34,2,24,/buy survival_end 2,1,204009,204009,2040.09,201968.91,201968.91,9900,100,true,
BLACK_STAINED_GLASS,0.05,survival_glass.yml,survival_glass,6,1,15,/buy survival_glass 1,1,5,5,0.05,4.95,4.95,9900,100,true,
BLACK_STAINED_GLASS_PANE,0.01,survival_glass.yml,survival_glass,23,2,11,/buy survival_glass 2,1,1,1,0.01,0.99,0.99,9900,100,true,
BLACK_TERRACOTTA,0.31,survival_terracotta.yml,survival_terracotta,5,1,14,/buy survival_terracotta 1,1,31,31,0.31,30.69,30.69,9900,100,true,
BLACK_WOOL,0.49,survival_wools.yml,survival_wools,4,1,13,/buy survival_wools 1,1,49,49,0.49,48.51,48.51,9900,100,true,
BLADE_POTTERY_SHERD,25,survival_sherds.yml,survival_sherds,4,1,13,/buy survival_sherds 1,1,2500,2500,25,2475,2475,9900,100,true,
BLAST_FURNACE,17.48,survival_misc.yml,survival_misc,4,1,13,/buy survival_misc 1,1,1748,1748,17.48,1730.52,1730.52,9900,100,true,
BLAZE_POWDER,0.11,survival_nether.yml,survival_nether,55,3,23,/buy survival_nether 3,1,11,11,0.11,10.89,10.89,9900,100,true,
BLAZE_ROD,0.22,survival_mobdrops.yml,survival_mobdrops,9,1,20,/buy survival_mobdrops 1,1,22,22,0.22,21.78,21.78,9900,100,true,
BLAZE_ROD,0.22,survival_nether.yml,survival_nether,44,3,10,/buy survival_nether 3,1,22,22,0.22,21.78,21.78,9900,100,true,
BLAZE_ROD,0.22,survival_ores_coal.yml,survival_ores_coal,8,1,19,/buy survival_ores_coal 1,1,22,22,0.22,21.78,21.78,9900,100,true,
BLUE_BANNER,1,survival_wools.yml,survival_wools,60,4,23,/buy survival_wools 4,1,100,100,1,99,99,9900,100,true,
BLUE_BED,1.98,survival_wools.yml,survival_wools,44,3,23,/buy survival_wools 3,1,198,198,1.98,196.02,196.02,9900,100,true,
BLUE_BUNDLE,0.46,survival_misc.yml,survival_misc,33,2,24,/buy survival_misc 2,1,46,46,0.46,45.54,45.54,9900,100,true,
BLUE_CANDLE,4.2,survival_misc.yml,survival_misc,17,1,30,/buy survival_misc 1,1,420,420,4.2,415.8,415.8,9900,100,true,
BLUE_CARPET,0.36,survival_wools.yml,survival_wools,29,2,24,/buy survival_wools 2,1,36,36,0.36,35.64,35.64,9900,100,true,
BLUE_CONCRETE,0.05,survival_concrete.yml,survival_concrete,21,1,34,/buy survival_concrete 1,1,5,5,0.05,4.95,4.95,9900,100,true,
BLUE_CONCRETE_POWDER,0.05,survival_concrete.yml,survival_concrete,22,2,10,/buy survival_concrete 2,1,5,5,0.05,4.95,4.95,9900,100,true,
BLUE_DYE,0.12,survival_dyes.yml,survival_dyes,13,1,24,/buy survival_dyes 1,1,12,12,0.12,11.88,11.88,9900,100,true,
BLUE_EGG,1,survival_mobdrops.yml,survival_mobdrops,27,2,15,/buy survival_mobdrops 2,1,100,100,1,99,99,9900,100,true,
BLUE_GLAZED_TERRACOTTA,0.32,survival_terracotta.yml,survival_terracotta,30,2,24,/buy survival_terracotta 2,1,32,32,0.32,31.68,31.68,9900,100,true,
BLUE_HARNESS,1.35,survival_armor.yml,survival_armor,52,3,24,/buy survival_armor 3,1,135,135,1.35,133.65,133.65,9900,100,true,
BLUE_ICE,5,survival_blocks.yml,survival_blocks,82,5,11,/buy survival_blocks 5,1,500,500,5,495,495,9900,100,true,
BLUE_ORCHID,0.2,survival_farming_plants.yml,survival_farming_plants,3,1,12,/buy survival_farming_plants 1,1,20,20,0.2,19.8,19.8,9900,100,true,
BLUE_SHULKER_BOX,2040.12,survival_end.yml,survival_end,27,2,15,/buy survival_end 2,1,204012,204012,2040.12,201971.88,201971.88,9900,100,true,
BLUE_STAINED_GLASS,0.05,survival_glass.yml,survival_glass,15,1,28,/buy survival_glass 1,1,5,5,0.05,4.95,4.95,9900,100,true,
BLUE_STAINED_GLASS_PANE,0.01,survival_glass.yml,survival_glass,32,2,22,/buy survival_glass 2,1,1,1,0.01,0.99,0.99,9900,100,true,
BLUE_TERRACOTTA,0.32,survival_terracotta.yml,survival_terracotta,14,1,25,/buy survival_terracotta 1,1,32,32,0.32,31.68,31.68,9900,100,true,
BLUE_WOOL,0.53,survival_wools.yml,survival_wools,13,1,24,/buy survival_wools 1,1,53,53,0.53,52.47,52.47,9900,100,true,
BOLT_ARMOR_TRIM_SMITHING_TEMPLATE,250,island_templates.yml,island_templates,19,1,31,/buy island_templates 1,1,25000,25000,250,24750,24750,9900,100,true,
BONE,0.22,survival_mobdrops.yml,survival_mobdrops,1,1,10,/buy survival_mobdrops 1,1,22,22,0.22,21.78,21.78,9900,100,true,
BONE_BLOCK,0.64,,,,,,,,,,,,,,,false,not listed
BONE_MEAL,0.07,survival_farming_crops.yml,survival_farming_crops,7,1,16,/buy survival_farming_crops 1,1,7,7,0.07,6.93,6.93,9900,100,true,
BOOK,1.18,,,,,,,,,,,,,,,false,not listed
BOOKSHELF,5.11,survival_blocks.yml,survival_blocks,35,2,25,/buy survival_blocks 2,1,511,511,5.11,505.89,505.89,9900,100,true,
BORDURE_INDENTED_BANNER_PATTERN,1.42,,,,,,,,,,,,,,,false,not listed
BOW,0.61,survival_weapons.yml,survival_weapons,13,2,10,/buy survival_weapons 2,1,61,61,0.61,60.39,60.39,9900,100,true,
BOWL,0.17,,,,,,,,,,,,,,,false,not listed
BRAIN_CORAL,1,survival_coral.yml,survival_coral,1,1,10,/buy survival_coral 1,1,100,100,1,99,99,9900,100,true,
BRAIN_CORAL_BLOCK,1,survival_coral.yml,survival_coral,2,1,11,/buy survival_coral 1,1,100,100,1,99,99,9900,100,true,
BRAIN_CORAL_FAN,1,survival_coral.yml,survival_coral,3,1,12,/buy survival_coral 1,1,100,100,1,99,99,9900,100,true,
BREAD,1.22,survival_food.yml,survival_food,5,1,14,/buy survival_food 1,1,122,122,1.22,120.78,120.78,9900,100,true,
BREEZE_ROD,5,survival_mobdrops.yml,survival_mobdrops,21,1,34,/buy survival_mobdrops 1,1,500,500,5,495,495,9900,100,true,
BREWER_POTTERY_SHERD,25,survival_sherds.yml,survival_sherds,5,1,14,/buy survival_sherds 1,1,2500,2500,25,2475,2475,9900,100,true,
BREWING_STAND,1.94,,,,,,,,,,,,,,,false,not listed
BRICK,0.6,,,,,,,,,,,,,,,false,not listed
BRICKS,2.4,survival_bricks.yml,survival_bricks,1,1,10,/buy survival_bricks 1,1,240,240,2.4,237.6,237.6,9900,100,true,
BRICK_SLAB,2.44,survival_bricks.yml,survival_bricks,2,1,11,/buy survival_bricks 1,1,244,244,2.44,241.56,241.56,9900,100,true,
BRICK_STAIRS,5.59,survival_bricks.yml,survival_bricks,3,1,12,/buy survival_bricks 1,1,559,559,5.59,553.41,553.41,9900,100,true,
BRICK_WALL,2.4,survival_bricks.yml,survival_bricks,4,1,13,/buy survival_bricks 1,1,240,240,2.4,237.6,237.6,9900,100,true,
BROWN_BANNER,1,survival_wools.yml,survival_wools,61,4,24,/buy survival_wools 4,1,100,100,1,99,99,9900,100,true,
BROWN_BED,2.07,survival_wools.yml,survival_wools,45,3,24,/buy survival_wools 3,1,207,207,2.07,204.93,204.93,9900,100,true,
BROWN_BUNDLE,0.55,survival_misc.yml,survival_misc,25,2,14,/buy survival_misc 2,1,55,55,0.55,54.45,54.45,9900,100,true,
BROWN_CANDLE,4.28,survival_misc.yml,survival_misc,9,1,20,/buy survival_misc 1,1,428,428,4.28,423.72,423.72,9900,100,true,
BROWN_CARPET,0.41,survival_wools.yml,survival_wools,21,2,14,/buy survival_wools 2,1,41,41,0.41,40.59,40.59,9900,100,true,
BROWN_CONCRETE,0.06,survival_concrete.yml,survival_concrete,23,2,11,/buy survival_concrete 2,1,6,6,0.06,5.94,5.94,9900,100,true,
BROWN_CONCRETE_POWDER,0.06,survival_concrete.yml,survival_concrete,24,2,12,/buy survival_concrete 2,1,6,6,0.06,5.94,5.94,9900,100,true,
BROWN_DYE,0.2,survival_dyes.yml,survival_dyes,5,1,14,/buy survival_dyes 1,1,20,20,0.2,19.8,19.8,9900,100,true,
BROWN_EGG,1,survival_mobdrops.yml,survival_mobdrops,26,2,14,/buy survival_mobdrops 2,1,100,100,1,99,99,9900,100,true,
BROWN_GLAZED_TERRACOTTA,0.33,survival_terracotta.yml,survival_terracotta,22,2,14,/buy survival_terracotta 2,1,33,33,0.33,32.67,32.67,9900,100,true,
BROWN_HARNESS,1.43,survival_armor.yml,survival_armor,44,3,14,/buy survival_armor 3,1,143,143,1.43,141.57,141.57,9900,100,true,
BROWN_MUSHROOM,0.24,survival_farming_crops.yml,survival_farming_crops,21,1,34,/buy survival_farming_crops 1,1,24,24,0.24,23.76,23.76,9900,100,true,
BROWN_MUSHROOM_BLOCK,2.2,survival_logs.yml,survival_logs,13,1,24,/buy survival_logs 1,1,220,220,2.2,217.8,217.8,9900,100,true,
BROWN_SHULKER_BOX,2040.2,survival_end.yml,survival_end,39,2,31,/buy survival_end 2,1,204020,204020,2040.2,201979.8,201979.8,9900,100,true,
BROWN_STAINED_GLASS,0.06,survival_glass.yml,survival_glass,7,1,16,/buy survival_glass 1,1,6,6,0.06,5.94,5.94,9900,100,true,
BROWN_STAINED_GLASS_PANE,0.03,survival_glass.yml,survival_glass,24,2,12,/buy survival_glass 2,1,3,3,0.03,2.97,2.97,9900,100,true,
BROWN_TERRACOTTA,0.33,survival_terracotta.yml,survival_terracotta,6,1,15,/buy survival_terracotta 1,1,33,33,0.33,32.67,32.67,9900,100,true,
BROWN_WOOL,0.61,survival_wools.yml,survival_wools,5,1,14,/buy survival_wools 1,1,61,61,0.61,60.39,60.39,9900,100,true,
BRUSH,0.84,survival_ores_copper.yml,survival_ores_copper,143,7,28,/buy survival_ores_copper 7,1,84,84,0.84,83.16,83.16,9900,100,true,
BRUSH,0.84,survival_tools.yml,survival_tools,36,2,14,/buy survival_tools 2,1,84,84,0.84,83.16,83.16,9900,100,true,
BUBBLE_CORAL,1,survival_coral.yml,survival_coral,7,1,16,/buy survival_coral 1,1,100,100,1,99,99,9900,100,true,
BUBBLE_CORAL_BLOCK,1,survival_coral.yml,survival_coral,8,1,19,/buy survival_coral 1,1,100,100,1,99,99,9900,100,true,
