plugin,project,scope_group,fresh_install_default,01_Notification policy,02_Action cards,03_Blocker recovery,04_Reward communication,05_Plugin next,06_Global next hub,07_Pinned focus,08_First-success checklist,09_Progression preview,10_Streak guidance,11_Focused welcome,12_Community contribution,adopted_or_existing_scope,followup,source_evidence,plugin_documentation
BirthdayLanterns,plugins:player-fun:birthdaylanterns,Player activity,Dormant,Candidate,Candidate,Candidate,Candidate,Candidate,Candidate,Candidate,Candidate,Candidate,Not applicable,Candidate,Not applicable,"Existing birthday, anniversary and server-milestone keepsake/wish-lantern eligibility and claim flows.","Use only real eligibility/claim state. An anniversary is not a daily streak, and a server anniversary is not a contribution target.",plugins/player-fun/birthdaylanterns/src/main/java/com/onemb/cmiapi/birthdaylanterns/BirthdayLanternsPlugin.java,docs/plugins/birthdaylanterns.md
Boosters,plugins:player-fun:boosters,Coordination,Enabled,Shared support,Candidate,Candidate,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Existing /rate status is used by ScheduledTips' booster guidance; Boosters does not register its own optional-hint or next-step provider.,Prioritise accurate applicable-activity/status copy if adopted. No invented progression or additional login stream.,plugins/player-fun/boosters/src/main/java/com/onemb/cmiapi/boosters/BoostersPlugin.java,docs/plugins/boosters.md
EventHunts,plugins:player-fun:coconuthunt,Player activity,Enabled,Candidate,Candidate,Candidate,Candidate,Candidate,Candidate,Candidate,Candidate,Candidate,Candidate,Candidate,Candidate,"One EventHunts artifact contains Coconut, Ghost and Door Hunt modules. Existing event guides, find/unlock progress, rewards and module-specific streak/community mechanics remain feature-owned.","Adopt per active module and actual objective, preserving seasonal gates. Do not count the three hunt modules as three additional JARs.",plugins/player-fun/coconuthunt/src/main/java/com/onemb/cmiapi/coconuthunt/CoconutHuntPlugin.java,docs/plugins/coconut.md
Collect,plugins:player-fun:collect,Player activity,Dormant,Shared support,Partial,Partial,Partial,Adopted,Adopted,Adopted,Candidate,Candidate,Candidate,Adopted,Adopted,Active community cards and failed-index recovery; actual saved submission/exchange contribution in existing receipts; community next step and shared focus; started contribution in welcome.,"Personal reward claims, leaderboard goals, Collect streaks and first-success onboarding are not migrated by COMM-11. Newcomers or completed goals are not unpinned return continuations.",plugins/player-fun/collect/src/main/java/com/onemb/cmiapi/collect/CollectPlugin.java:1087; plugins/player-fun/collect/src/main/java/com/onemb/cmiapi/collect/CollectPlugin.java:1088; plugins/player-fun/collect/src/main/java/com/onemb/cmiapi/collect/CollectPlugin.java:1095; plugins/player-fun/collect/src/main/java/com/onemb/cmiapi/collect/CollectPlugin.java:12,docs/plugins/collect.md
DiscordChat,plugins:player-fun:discordchat,Player activity,Dormant,Candidate,Candidate,Candidate,Candidate,Candidate,Candidate,Candidate,Candidate,Candidate,Candidate,Candidate,Not applicable,"Existing linked-account EXP, points, streaks and reward trades; no new guidance providers.",Any adoption must respect DiscordSRV/link availability and actual rewards. The maintained test server's DiscordSRV exclusion remains unchanged.,plugins/player-fun/discordchat/src/main/java/com/onemb/cmiapi/discordchat/DiscordChatPlugin.java,docs/plugins/discordchat.md
DropParty,plugins:player-fun:dropparty,Player activity,Dormant,Candidate,Candidate,Candidate,Candidate,Candidate,Candidate,Not applicable,Candidate,Not applicable,Not applicable,Candidate,Not applicable,Existing timed event/arena flow and saved loot claims after returning to the usual game mode.,"Clear participation, exit and saved-loot recovery are useful; do not turn temporary event participation into an invented numeric focus goal.",plugins/player-fun/dropparty/src/main/java/com/onemb/cmiapi/dropparty/DropPartyPlugin.java,docs/plugins/dropparty.md
EmoteMenu,plugins:player-fun:emotemenu,Simple player tool,Enabled,Not applicable,Candidate,Candidate,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Curated emote picker backed by existing CMI aliases.,Selection availability and action descriptions; no required progression loop.,plugins/player-fun/emotemenu/src/main/java/com/onemb/cmiapi/emotemenu/EmoteMenuPlugin.java,docs/plugins/emotemenu.md
Exchange,plugins:player-fun:exchange,Player activity,Enabled,Not applicable,Candidate,Candidate,Candidate,Candidate,Candidate,Not applicable,Candidate,Not applicable,Not applicable,Not applicable,Not applicable,Existing menu-driven item exchanges and trade results.,"Prioritise costs, item eligibility, blockers and confirmed outcomes. An affordable exchange is not an earned reward in the hub.",plugins/player-fun/exchange/src/main/java/com/onemb/cmiapi/exchange/ExchangePlugin.java,docs/plugins/exchange.md
Forage,plugins:player-fun:forage,Player activity,Dormant,Partial,Partial,Partial,Partial,Adopted,Adopted,Adopted,Adopted,Candidate,Not applicable,Partial,Candidate,"Gathering/camp/tool/quest recovery, quest and treasure outcomes; prerequisite-aware next steps; quest focus; camp/tool/first gather checklist. Welcome can use a pin or a ready reward, but no unpinned CONTINUE card opts in.","Shared checklist invitations and eligible welcome use the budget. Live gameplay remains dormant by owner instruction. Community Effort, upgrade/shop feedback, progression previews and other activity summaries remain separate adoption work.",plugins/player-fun/forage/src/main/java/com/onemb/cmiapi/forage/ForagePlugin.java:1826; plugins/player-fun/forage/src/main/java/com/onemb/cmiapi/forage/ForagePlugin.java:1798; plugins/player-fun/forage/src/main/java/com/onemb/cmiapi/forage/ForagePlugin.java:1755; plugins/player-fun/forage/src/main/java/com/onemb/cmiapi/forage/ForagePlugin.java:9; plugins/player-fun/forage/src/main/java/com/onemb/cmiapi/forage/ForagePlugin.java:1789; plugins/player-fun/forage/src/main/java/com/onemb/cmiapi/forage/ForagePlugin.java:5238,docs/plugins/forage.md
GameTypes,plugins:player-fun:gametypes,Simple player tool,Enabled,Not applicable,Candidate,Candidate,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Safe routing into the relevant BentoBox game-type menu.,World/access/navigation recovery first; underlying island progress belongs to its provider.,plugins/player-fun/gametypes/src/main/java/com/onemb/cmiapi/gametypes/GameTypesPlugin.java,docs/plugins/gametypes.md
JourneyMap,plugins:player-fun:journeymap,Player activity,Dormant,Partial,Partial,Partial,Partial,Adopted,Adopted,Adopted,Adopted,Adopted,Not applicable,Adopted,Not applicable,Optional milestone hints; saved badge/playtime and reward cards; request recovery and reward outcomes; badge focus; saved journey/badges/chosen focus checklist; Now/Next/Later preview; started saved playtime or ready rewards in welcome.,"Progress is the last saved refresh, not a continuously ticking timer. Check the existing milestone hint alongside focused welcome in CLOSE-04.",plugins/player-fun/journeymap/src/main/java/com/onemb/cmiapi/journeymap/JourneyMapPlugin.java:631; plugins/player-fun/journeymap/src/main/java/com/onemb/cmiapi/journeymap/JourneyMapPlugin.java:608; plugins/player-fun/journeymap/src/main/java/com/onemb/cmiapi/journeymap/JourneyMapPlugin.java:586; plugins/player-fun/journeymap/src/main/java/com/onemb/cmiapi/journeymap/JourneyMapPlugin.java:666; plugins/player-fun/journeymap/src/main/java/com/onemb/cmiapi/journeymap/JourneyMapPlugin.java:9; plugins/player-fun/journeymap/src/main/java/com/onemb/cmiapi/journeymap/JourneyMapPlugin.java:10; plugins/player-fun/journeymap/src/main/java/com/onemb/cmiapi/journeymap/JourneyMapPlugin.java:389; plugins/player-fun/journeymap/src/main/java/com/onemb/cmiapi/journeymap/JourneyMapPlugin.java:411; plugins/player-fun/journeymap/src/main/java/com/onemb/cmiapi/journeymap/JourneyMapPlugin.java:229; plugins/player-fun/journeymap/src/main/java/com/onemb/cmiapi/journeymap/JourneyMapPlugin.java:405,docs/plugins/journeymap.md
KitStreaks,plugins:player-fun:kitstreaks,Player activity,Dormant,Adopted,Partial,Partial,Partial,Adopted,Adopted,Candidate,Candidate,Adopted,Adopted,Candidate,Not applicable,"Shared due reminder; qualifying-kit/day guide, calendar windows and recovery copy; milestone preview; one secured-day acknowledgement; cached due-day next step. No focus/checklist provider or welcome opt-in.",Secured-day and earned-milestone wording does not certify every external reward delivery. Keep due reminders separate from optional future focus/checklist/welcome adoption.,plugins/player-fun/kitstreaks/src/main/java/com/onemb/cmiapi/kitstreaks/KitStreaksPlugin.java:760; plugins/player-fun/kitstreaks/src/main/java/com/onemb/cmiapi/kitstreaks/KitStreaksPlugin.java:19; plugins/player-fun/kitstreaks/src/main/java/com/onemb/cmiapi/kitstreaks/KitStreaksPlugin.java:20; plugins/player-fun/kitstreaks/src/main/java/com/onemb/cmiapi/kitstreaks/KitStreaksPlugin.java:306; plugins/player-fun/kitstreaks/src/main/java/com/onemb/cmiapi/kitstreaks/KitStreaksPlugin.java:735,docs/plugins/kitstreaks.md
LavaBoots,plugins:player-fun:lavaboots,Simple player tool,Dormant,Not applicable,Candidate,Candidate,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Finite custom event boots with their own item behaviour.,Explain remaining protection and why it stopped; no new streak or invented reward path.,plugins/player-fun/lavaboots/src/main/java/com/onemb/cmiapi/lavaboots/LavaBootsPlugin.java,docs/plugins/lavaboots.md
Menu,plugins:player-fun:menu,Coordination,Enabled,Not applicable,Candidate,Candidate,Not applicable,Not applicable,Shared support,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,"The existing /menu gains a permission-checked Your next step entry into the global hub, including configured ordering support.",Other directory entries retain their existing descriptions. A menu link is not a feature recommendation provider.,plugins/player-fun/menu/src/main/java/com/onemb/cmiapi/menu/MenuPlugin.java,docs/plugins/menu.md
MobHat,plugins:player-fun:mobhat,Simple player tool,Enabled,Not applicable,Candidate,Candidate,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Temporary mob-cosmetic selection with its own eligibility rules.,Readable selected state and blocked-selection recovery.,plugins/player-fun/mobhat/src/main/java/com/onemb/cmiapi/mobhat/MobHatPlugin.java,docs/plugins/mobhat.md
NameMC,plugins:player-fun:namemc,Player activity,Enabled,Candidate,Candidate,Candidate,Candidate,Candidate,Candidate,Not applicable,Candidate,Not applicable,Not applicable,Candidate,Not applicable,Existing NameMC verification/link and reward flow.,"An external verification must remain authoritative. Do not present a link, submitted request or cooldown as a delivered reward.",plugins/player-fun/namemc/src/main/java/com/onemb/cmiapi/namemc/NameMcPlugin.java,docs/plugins/namemc.md
Nick,plugins:player-fun:nick,Simple player tool,Dormant,Not applicable,Candidate,Candidate,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,"Curated nickname picker, history and favourites.","Readable selected state, preview and permission/format recovery.",plugins/player-fun/nick/src/main/java/com/onemb/cmiapi/nick/NickPlugin.java,docs/plugins/nick.md
PassportDiscovery,plugins:player-fun:passportdiscovery,Player activity,Dormant,Partial,Partial,Partial,Partial,Adopted,Adopted,Adopted,Adopted,Candidate,Not applicable,Adopted,Not applicable,Category and stamp cards; collection/box recovery; category credits and stamp-box outcomes; missing-stamp/credit decisions; category focus; first stamp checklist; started categories in welcome.,Shared checklist invitations and welcome respect the budget; existing activity summaries keep their own route. A longer unlock preview and broader notification adoption are optional follow-ups.,plugins/player-fun/passportdiscovery/src/main/java/com/onemb/cmiapi/passportdiscovery/PassportDiscoveryPlugin.java:1491; plugins/player-fun/passportdiscovery/src/main/java/com/onemb/cmiapi/passportdiscovery/PassportDiscoveryPlugin.java:1461; plugins/player-fun/passportdiscovery/src/main/java/com/onemb/cmiapi/passportdiscovery/PassportDiscoveryPlugin.java:1434; plugins/player-fun/passportdiscovery/src/main/java/com/onemb/cmiapi/passportdiscovery/PassportDiscoveryPlugin.java:1528; plugins/player-fun/passportdiscovery/src/main/java/com/onemb/cmiapi/passportdiscovery/PassportActionCards.java:3; plugins/player-fun/passportdiscovery/src/main/java/com/onemb/cmiapi/passportdiscovery/PassportDiscoveryPlugin.java:1068; plugins/player-fun/passportdiscovery/src/main/java/com/onemb/cmiapi/passportdiscovery/PassportDiscoveryPlugin.java:1647,docs/plugins/passportdiscovery.md
PvPToggle,plugins:player-fun:pvptoggle,Simple player tool,Enabled,Not applicable,Candidate,Candidate,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Personal PvP toggle and restrictions.,Clear current state and why a requested change cannot apply.,plugins/player-fun/pvptoggle/src/main/java/com/onemb/cmiapi/pvptoggle/PvPTogglePlugin.java,docs/plugins/pvptoggle.md
RecordingMode,plugins:player-fun:recordingmode,Coordination,Enabled,Shared support,Candidate,Candidate,Not applicable,Not applicable,Not applicable,Shared support,Not applicable,Not applicable,Not applicable,Shared support,Not applicable,"Recording tips preference supplies a temporary quiet state to shared optional hints, the focus bar and focused welcome.",Its own settings/status presentation can be reviewed separately. Quiet integration is not a next/focus-goal provider.,plugins/player-fun/recordingmode/src/main/java/com/onemb/cmiapi/recordingmode/RecordingModePlugin.java:688,docs/plugins/recordingmode.md
Refer,plugins:player-fun:refer,Player activity,Dormant,Candidate,Candidate,Candidate,Candidate,Candidate,Candidate,Not applicable,Candidate,Not applicable,Not applicable,Candidate,Not applicable,"Existing referral request, friend verification, playtime/duplicate checks and reward-marker flow.",Show the correct participant's next action and the remaining eligibility. Keep request acceptance distinct from external kit delivery.,plugins/player-fun/refer/src/main/java/com/onemb/cmiapi/refer/ReferPlugin.java,docs/plugins/refer.md
ScheduledTips,plugins:player-fun:scheduledtips,Coordination,Dormant,Adopted,Shared support,Shared support,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,"Configured tips and booster hints use the shared optional budget, hide/later/settings and availability rules. The shared settings UI supplies its presentation and recovery.",Review configured tip wording and surrounding messages in CLOSE-04; this feature does not own a progression objective.,plugins/player-fun/scheduledtips/src/main/java/com/onemb/cmiapi/scheduledtips/ScheduledTipsPlugin.java:284; plugins/player-fun/scheduledtips/src/main/java/com/onemb/cmiapi/scheduledtips/ScheduledTipsPlugin.java:806,docs/plugins/scheduledtips.md
SellStreaks,plugins:player-fun:sellstreaks,Player activity,Dormant,Candidate,Candidate,Candidate,Candidate,Candidate,Candidate,Candidate,Candidate,Candidate,Not applicable,Candidate,Not applicable,"Existing daily CMI-sale material goals, variety thresholds, automatic rewards and same-material anti-spam streak limits.","Good next/focus candidate. Its current streak is an anti-spam count, not KitStreaks' consecutive-day promise. Do not assume AutoSell sales feed it.",plugins/player-fun/sellstreaks/src/main/java/com/onemb/cmiapi/sellstreaks/SellStreaksPlugin.java,docs/plugins/sellstreaks.md
SocialGatherings,plugins:player-fun:socialgatherings,Player activity,Dormant,Candidate,Candidate,Candidate,Candidate,Candidate,Candidate,Candidate,Candidate,Candidate,Not applicable,Candidate,Not applicable,"Existing gathering requirements/invites/opt-out and separately gated Carnival booths, personal bests, virtual tickets and prize counter.",Consider actual Carnival activity/claim state per module. Same-type streak limits are abuse controls; group attendance is not a persistent community-contribution target.,plugins/player-fun/socialgatherings/src/main/java/com/onemb/cmiapi/socialgatherings/SocialGatheringsPlugin.java,docs/plugins/socialgatherings.md
Spawners,plugins:player-fun:spawners,Player activity,Dormant,Not applicable,Candidate,Candidate,Candidate,Candidate,Candidate,Not applicable,Candidate,Not applicable,Not applicable,Not applicable,Not applicable,"Existing CMI spawner shop, price and per-type permission gates.","Prioritise eligibility, cost, item delivery and recovery. Do not present a purchasable spawner as a free ready reward.",plugins/player-fun/spawners/src/main/java/com/onemb/cmiapi/spawners/SpawnersPlugin.java,docs/plugins/spawners.md
PlayerTodo,plugins:player-fun:todo,Player activity,Enabled,Shared support,Shared support,Shared support,Not applicable,Candidate,Shared support,Adopted,Adopted,Not applicable,Not applicable,Partial,Not applicable,Manual personal tasks supply shared focus and a remembered first-task checklist. Shared services render the cards/recovery. A pinned task can supply welcome; no Todo NextStep provider or /todo next exists.,An unpinned personal-task recommendation could be added later if useful. Never infer numeric building progress or complete a task from guidance.,plugins/player-fun/todo/src/main/java/com/onemb/cmiapi/todo/TodoPlugin.java:115; plugins/player-fun/todo/src/main/java/com/onemb/cmiapi/todo/TodoPlugin.java:92,docs/plugins/todo.md
TPAuto,plugins:player-fun:tpauto,Simple player tool,Dormant,Not applicable,Candidate,Candidate,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Personal CMI teleport-request auto-accept preference.,"Clear current preference, eligible request types and permission recovery.",plugins/player-fun/tpauto/src/main/java/com/onemb/cmiapi/tpauto/TPAutoPlugin.java,docs/plugins/tpauto.md
Visit,plugins:player-fun:visit,Player activity,Enabled,Candidate,Candidate,Candidate,Candidate,Candidate,Candidate,Not applicable,Candidate,Not applicable,Not applicable,Candidate,Not applicable,"Existing player-owned visit locations, listings, arrival preferences and notifications.",First listing/setup and actionable visit outcomes are candidates. Verify an actual unfinished owner action before considering return guidance.,plugins/player-fun/visit/src/main/java/com/onemb/cmiapi/visit/VisitPlugin.java,docs/plugins/visit.md
VoteTokens,plugins:player-fun:votetokens,Player activity,Enabled,Not applicable,Partial,Partial,Candidate,Partial,Partial,Candidate,Candidate,Adopted,Not applicable,Candidate,Not applicable,Reward-path cards and load-recovery copy; Now/Next/Later based on the configured tier/layer tree. /votetokens next contributes a TRY link to the path; the detailed view resolves actual player progress.,"The hub card is a launcher, not a selected affordable trade or claim. Trade/tool outcome migration, cached personalised suggestions, focus and onboarding are follow-ups; no welcome opt-in currently exists.",plugins/player-fun/votetokens/src/main/java/com/onemb/cmiapi/votetokens/VoteTokensPlugin.java:2344; plugins/player-fun/votetokens/src/main/java/com/onemb/cmiapi/votetokens/VoteTokensPlugin.java:2330; plugins/player-fun/votetokens/src/main/java/com/onemb/cmiapi/votetokens/VoteProgression.java:3,docs/plugins/votetokens.md
Wiki,plugins:player-fun:wiki,Simple player tool,Dormant,Not applicable,Candidate,Candidate,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,"Local reviewed reference answers, disambiguation and honest link/search fallbacks.",Preserve existing next-action answers; no need to invent progression or milestones.,plugins/player-fun/wiki/src/main/java/com/onemb/cmiapi/wiki/WikiAssistantPlugin.java,docs/plugins/wiki.md
AntiFire,plugins:server-management:antifire,Player-facing boundary,Standalone policy,Not applicable,Not applicable,Candidate,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Protection/moderation feature with possible player-facing denied-action feedback; no progression providers.,"Review only useful, appropriate recovery copy for blocked actions; retain required safety/moderation feedback.",plugins/server-management/antifire/src/main/java/com/onemb/cmiapi/antifire/AntiFirePlugin.java,docs/plugins/antifire.md
CmdCostDashboard,plugins:server-management:cmdcostdashboard,Staff / infrastructure,Dormant,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,"Staff, maintenance, data or compatibility component; no new player-goal provider or applicable progression loop identified.",Keep its operational/help behaviour. Include relevant external dependencies in acceptance rather than inventing player goals.,plugins/server-management/cmdcostdashboard/src/main/java/com/onemb/cmiapi/cmdcostdashboard/CmdCostDashboardPlugin.java,docs/plugins/cmdcostdashboard.md
CMIConfig,plugins:server-management:cmiconfig,Staff / infrastructure,Dormant,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,"Staff, maintenance, data or compatibility component; no new player-goal provider or applicable progression loop identified.",Keep its operational/help behaviour. Include relevant external dependencies in acceptance rather than inventing player goals.,plugins/server-management/cmiconfig/src/main/java/com/onemb/cmiapi/cmiconfig/CMIConfigPlugin.java,docs/plugins/cmiconfig.md
ConsoleNoiseRouter,plugins:server-management:consolenoiserouter,Staff / infrastructure,Dormant,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,"Staff, maintenance, data or compatibility component; no new player-goal provider or applicable progression loop identified.",Keep its operational/help behaviour. Include relevant external dependencies in acceptance rather than inventing player goals.,plugins/server-management/consolenoiserouter/src/main/java/com/onemb/cmiapi/consolenoiserouter/ConsoleNoiseRouterPlugin.java,docs/plugins/consolenoiserouter.md
Diagnostics,plugins:server-management:diagnostics,Staff / infrastructure,Dormant,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,"Staff, maintenance, data or compatibility component; no new player-goal provider or applicable progression loop identified.",Keep its operational/help behaviour. Include relevant external dependencies in acceptance rather than inventing player goals.,plugins/server-management/diagnostics/src/main/java/com/onemb/cmiapi/diagnostics/DiagnosticsPlugin.java,docs/plugins/diagnostics.md
